199,-916,104,16220,212,-270,-5
724,-764,104,15932,148,125,34
1222,-716,148,15940,132,144,14
1720,-720,192,16148,129,326,3
2217,-672,156,16040,153,133,15
2715,-572,80,16092,135,106,-9
3214,-780,124,16052,123,216,5
3712,-716,64,16192,151,205,19
4209,-536,188,16000,151,70,2
4707,-632,84,16028,136,172,41
5204,-616,108,16104,158,104,-13
5702,-532,72,16028,125,337,1
6201,-616,156,15968,139,145,3
6699,-700,164,16040,105,222,14
7196,-424,528,16308,76,609,-45
7694,-520,84,15956,138,293,32
8192,-548,132,16060,177,18,25
8694,-600,80,16140,156,154,2
9192,-584,96,16060,141,155,21
9690,-400,40,16056,134,146,16
10188,-496,-56,16016,154,111,7
10686,-484,88,16296,121,133,-7
11184,-444,68,16244,161,168,7
11681,-532,84,16000,167,137,0
12179,-564,140,16088,150,177,13
12677,-308,148,16180,151,148,13
13175,-556,100,16096,149,149,-6
13673,-452,44,16184,165,137,0
14171,-584,36,16132,150,169,-18
14668,-412,156,16016,156,140,6
15166,-520,112,16204,164,149,-3
15665,-544,96,16176,146,143,21
16162,-456,60,16280,129,150,13
16663,-616,84,16112,150,143,3
17162,-408,144,16108,150,150,11
17659,-396,92,16188,181,138,-12
18157,-524,132,16072,161,158,30
18655,-544,92,16256,153,152,14
19152,-500,156,16080,156,160,9
19651,-496,68,16056,155,165,12
20149,-576,28,16028,152,155,-6
20646,-532,24,16020,131,166,7
21144,-496,76,15992,143,147,25
21642,-504,232,16116,130,165,10
22139,-636,120,16220,148,148,-12
22638,-532,124,16060,159,134,18
23136,-404,44,15984,137,157,5
23633,-432,80,16184,131,147,20
24131,-504,116,15960,165,153,2
24633,-580,88,16168,133,179,-8
25131,-440,68,16072,142,143,9
25628,-532,40,15996,161,152,28
26126,-520,56,16120,133,154,0
26624,-556,96,16132,144,149,7
27122,-608,8,16132,140,159,0
27620,-532,36,16124,144,179,41
28118,-580,32,16036,155,170,4
28615,-452,128,16068,138,160,2
29113,-524,24,16024,174,141,24
29611,-536,44,16192,162,156,-1
30109,-584,36,16164,133,149,8
30607,-432,192,16084,141,153,-4
31105,-536,104,16020,139,158,21
31602,-464,164,16244,149,155,12
32100,-464,132,16032,144,143,11
32602,-540,120,16056,142,144,15
33099,-432,108,16116,146,144,36
33597,-544,188,16104,169,160,21
34096,-524,192,16052,128,160,17
34593,-528,128,16132,130,173,6
35091,-568,44,16032,149,174,19
35589,-468,144,16192,144,142,19
36086,-472,52,16180,133,158,1
36585,-440,24,15916,151,161,22
37083,-424,140,16068,154,142,10
37580,-528,24,16268,149,144,20
38078,-516,76,16024,130,151,4
38576,-512,92,16100,148,157,8
39073,-548,72,16024,134,156,6
39572,-480,180,16040,157,154,10
40070,-404,96,16092,149,167,4
40570,-516,148,16036,133,178,28
41069,-476,72,16148,158,156,5
41567,-572,56,16124,142,172,-1
42064,-580,144,15984,131,141,-13
42562,-536,128,16008,151,175,-9
43060,-472,96,16048,132,160,-4
43557,-552,76,16144,132,160,-23
44056,-584,140,15996,138,133,2
44554,-628,72,16044,136,134,21
45051,-576,128,16152,143,139,17
45549,-592,104,16068,144,141,5
46047,-560,124,15992,151,158,12
46545,-628,-36,16104,143,138,18
47043,-664,108,16156,144,167,12
47541,-464,88,16044,156,131,12
48038,-524,116,16100,149,148,-2
